step_time_left,step_time_right,force_asymmetry,stance_time_left,swing_time_left,impulse_left,stride_length_left,vertical_disp_left,foot_velocity_left,peak_force_left,peak_force_right,step_time_diff,stance_time_right,swing_time_right,impulse_right,vertical_disp_right,foot_velocity_right,stride_length_right,step_width,subject,speed,target
0.424,1.26,26.897338,1.149,0.512,667.0925307,0.264059,0.012327,0.622083901,825.101379,798.204041,0.836,-0.553,2.162,0,0.204989,0.202666857,0.255041,0.099112,1,0.6,0
1.176,0.381,19.952393,1.095,0.495,646.4032732,0.294134,0.208099,0.25081106,817.153992,797.201599,0.795,-0.548,2.157,0,0.007193,0.62056985,0.235685,0.076835,1,0.6,0
0.221,1.213,7.319214,1.119,0.53,665.5190737,0.141113,0.000996,0.627357475,817.774231,810.455017,0.992,-0.551,2.194,0,0.195043,0.182083003,0.220041,0.107222,1,0.6,0
0.264,0.226,7.119751,1.125,0.462,662.7588699,0.16325,0.003474,0.628054055,803.586792,796.467041,0.038,-0.526,2.121,0,0.002668,0.623140165,0.140179,0.104683,1,0.6,0
1.136,0.207,7.300476,1.137,0.529,687.9814107,0.241174,0.193034,0.211678687,782.675293,775.374817,0.929,-0.576,2.205,0,0.007193,0.610969981,0.12502,0.110397,1,0.6,0
0.223,1.189,19.073059,1.093,0.489,652.6651934,0.135809,0.004442,0.617659302,816.618408,797.545349,0.966,-0.526,2.119,0,0.199667,0.222334143,0.264193,0.112888,1,0.6,0
0.238,0.425,5.510071,1.12,0.48,655.1605573,0.14703,0.011319,0.614733064,788.353271,793.863342,0.187,-0.525,2.164,0,0.015812,0.611374723,0.259311,0.097808,1,0.6,0
1.2,1.222,3.095337,1.098,0.551,695.3744123,0.30037,0.206476,0.250526704,802.548523,799.453186,0.022,-0.616,2.23,0,0.21086,0.213387335,0.259681,0.110722,1,0.6,0
0.294,0.377,6.710144,1.064,0.528,630.7939508,0.185052,0.003908,0.627441691,820.586426,813.876282,0.083,-0.518,2.09,0,0.003188,0.627677938,0.238492,0.113154,1,0.6,0
1.258,1.209,12.742249,1.072,0.486,621.5551684,0.210539,0.213866,0.168102922,799.587952,786.845703,0.049,-0.512,2.045,0,0.193997,0.223372429,0.269965,0.120295,1,0.6,0
0.279,0.214,0.420716,1.089,0.438,632.3725564,0.174778,0.004906,0.624524524,804.023682,803.602966,0.065,-0.493,2.041,0,0.001395,0.626893918,0.131638,0.113553,1,0.6,0
0.214,0.21,9.436829,1.068,0.499,623.7356063,0.132106,0.009059,0.61610422,776.660889,767.22406,0.004,-0.495,2.092,0,0.004751,0.617649271,0.129601,0.119897,1,0.6,0
1.189,1.207,18.717468,1.091,0.498,618.8585736,0.312157,0.213298,0.263057744,802.241272,820.95874,0.018,-0.509,2.082,0,0.208797,0.235322412,0.284314,0.114751,1,0.6,0
0.224,0.41,18.036621,1.064,0.506,616.6453488,0.137869,0.002868,0.62685769,801.026489,819.06311,0.186,-0.516,2.041,0,0.006314,0.621190805,0.254602,0.103706,1,0.6,0
0.222,1.195,19.534484,1.068,0.48,628.0688264,0.139483,0.007546,0.620978645,789.93158,809.466064,0.973,-0.495,2.036,0,0.204901,0.203947998,0.243437,0.116265,1,0.6,0
1.129,0.394,4.003967,1.022,0.533,610.5109698,0.314179,0.209824,0.278222034,811.109131,807.105164,0.735,-0.491,2.083,0,0.0132,0.615411468,0.242694,0.102315,1,0.6,0
0.234,1.18,14.351563,1.096,0.473,641.1070149,0.144981,0.001834,0.630405662,809.409363,795.0578,0.946,-0.511,2.11,0,0.192189,0.262291523,0.308317,0.119327,1,0.6,0
