step_time_left,step_time_right,force_asymmetry,stance_time_left,swing_time_left,impulse_left,stride_length_left,vertical_disp_left,foot_velocity_left,peak_force_left,peak_force_right,step_time_diff,stance_time_right,swing_time_right,impulse_right,vertical_disp_right,foot_velocity_right,stride_length_right,step_width,subject,speed,target
0.5936,1.638,40.346007,1.149,0.512,667.0925307,0.1848413,0.0073962,0.435458731,825.101379,798.204041,1.672,-0.553,2.162,0,0.1229934,0.1418668,0.19128075,0.099112,1,0.6,1
1.176,0.381,19.952393,1.095,0.495,646.4032732,0.294134,0.208099,0.25081106,817.153992,797.201599,0.795,-0.548,2.157,0,0.007193,0.62056985,0.235685,0.076835,1,0.6,0
0.221,1.213,7.319214,1.119,0.53,665.5190737,0.141113,0.000996,0.627357475,817.774231,810.455017,0.992,-0.551,2.194,0,0.195043,0.182083003,0.220041,0.107222,1,0.6,0
0.3696,0.2938,10.6796265,1.125,0.462,662.7588699,0.114275,0.0020844,0.439637839,803.586792,796.467041,0.076,-0.526,2.121,0,0.0016008,0.436198115,0.10513425,0.104683,1,0.6,1
1.136,0.207,7.300476,1.137,0.529,687.9814107,0.241174,0.193034,0.211678687,782.675293,775.374817,0.929,-0.576,2.205,0,0.007193,0.610969981,0.12502,0.110397,1,0.6,0
0.223,1.189,19.073059,1.093,0.489,652.6651934,0.135809,0.004442,0.617659302,816.618408,797.545349,0.966,-0.526,2.119,0,0.199667,0.222334143,0.264193,0.112888,1,0.6,0
0.238,0.425,5.510071,1.12,0.48,655.1605573,0.14703,0.011319,0.614733064,788.353271,793.863342,0.187,-0.525,2.164,0,0.015812,0.611374723,0.259311,0.097808,1,0.6,0
1.2,1.222,3.095337,1.098,0.551,695.3744123,0.30037,0.206476,0.250526704,802.548523,799.453186,0.022,-0.616,2.23,0,0.21086,0.213387335,0.259681,0.110722,1,0.6,0
0.4116,0.4901,10.065216,1.064,0.528,630.7939508,0.1295364,0.0023448,0.439209184,820.586426,813.876282,0.166,-0.518,2.09,0,0.0019128,0.439374557,0.178869,0.113154,1,0.6,1
1.258,1.209,12.742249,1.072,0.486,621.5551684,0.210539,0.213866,0.168102922,799.587952,786.845703,0.049,-0.512,2.045,0,0.193997,0.223372429,0.269965,0.120295,1,0.6,0
0.3906,0.2782,0.631074,1.089,0.438,632.3725564,0.1223446,0.0029436,0.437167167,804.023682,803.602966,0.13,-0.493,2.041,0,0.000837,0.438825742,0.0987285,0.113553,1,0.6,1
0.214,0.21,9.436829,1.068,0.499,623.7356063,0.132106,0.009059,0.61610422,776.660889,767.22406,0.004,-0.495,2.092,0,0.004751,0.617649271,0.129601,0.119897,1,0.6,0
1.6646,1.5691,28.076202,1.091,0.498,618.8585736,0.2185099,0.1279788,0.184140421,802.241272,820.95874,0.036,-0.509,2.082,0,0.1252782,0.164725688,0.2132355,0.114751,1,0.6,1
0.224,0.41,18.036621,1.064,0.506,616.6453488,0.137869,0.002868,0.62685769,801.026489,819.06311,0.186,-0.516,2.041,0,0.006314,0.621190805,0.254602,0.103706,1,0.6,0
0.3108,1.5535,29.301726,1.068,0.48,628.0688264,0.0976381,0.0045276,0.434685052,789.93158,809.466064,1.946,-0.495,2.036,0,0.1229406,0.142763598,0.18257775,0.116265,1,0.6,1
1.129,0.394,4.003967,1.022,0.533,610.5109698,0.314179,0.209824,0.278222034,811.109131,807.105164,0.735,-0.491,2.083,0,0.0132,0.615411468,0.242694,0.102315,1,0.6,0
0.234,1.18,14.351563,1.096,0.473,641.1070149,0.144981,0.001834,0.630405662,809.409363,795.0578,0.946,-0.511,2.11,0,0.192189,0.262291523,0.308317,0.119327,1,0.6,0
0.3108,0.3055,1.952454,1.12,0.505,647.4957943,0.0978474,0.003627,0.43535237,784.596802,783.295166,0.026,-0.53,2.178,0,0.0008982,0.437158264,0.1100505,0.131539,1,0.6,1
1.098,0.213,30.008911,1.166,0.496,696.1446175,0.333758,0.213518,0.305534148,813.97821,783.969299,0.885,-0.579,2.185,0,0.004393,0.618356566,0.129767,0.109402,1,0.6,0
0.4368,1.5301,29.483277,1.085,0.467,628.5905482,0.1373064,0.0021732,0.436035593,790.238403,809.893921,1.73,-0.504,2.06,0,0.120225,0.170703052,0.21572175,0.110601,1,0.6,1
0.287,0.5499,10.558776,1.072,0.522,647.7246996,0.0874538,0.0059742,0.428257827,803.42157,810.460754,0.436,-0.538,2.141,0,0.0043272,0.434257925,0.1953345,0.093688,1,0.6,1
1.202,1.183,13.799438,1.077,0.492,617.6334173,0.276985,0.205911,0.232481052,793.511841,807.311279,0.019,-0.485,2.061,0,0.198047,0.208631248,0.246906,0.125145,1,0.6,0
0.229,0.404,7.540222,1.112,0.422,656.6241247,0.143203,0.00233,0.622899413,813.304443,805.764221,0.175,-0.535,2.03,0,0.003758,0.626461598,0.253684,0.102621,1,0.6,0
0.3248,1.4989,7.9306635,1.064,0.45,620.1610435,0.099008,0.0056688,0.431604799,793.992065,788.704956,1.842,-0.491,2.038,0,0.123519,0.159127711,0.19592025,0.130203,1,0.6,1
1.14,0.372,9.39386,1.086,0.473,640.4160704,0.281313,0.20528,0.247311984,808.84552,818.23938,0.768,-0.514,2.016,0,0.003259,0.626224468,0.23481,0.103749,1,0.6,0
0.386,1.154,0.268006,1.062,0.471,608.6525216,0.241909,0.009907,0.620866197,796.194824,796.46283,0.768,-0.487,2.061,0,0.198984,0.193317713,0.221424,0.117218,1,0.6,0
1.142,0.419,33.228699,1.115,0.462,665.6135177,0.294346,0.207846,0.258861648,790.246704,823.475403,0.723,-0.504,2.031,0,0.007302,0.617070348,0.259059,0.120678,1,0.6,0
0.212,1.164,12.09375,1.029,0.466,609.5391155,0.132218,0.001583,0.629651881,803.742554,815.836304,0.952,-0.49,2.006,0,0.197459,0.216441991,0.252079,0.115637,1,0.6,0
0.219,0.431,47.806091,1.013,0.526,592.4122558,0.138659,0.002447,0.63038875,784.560364,832.366455,0.212,-0.475,2.044,0,0.007512,0.619662781,0.266334,0.102755,1,0.6,0
1.5554,1.4898,42.984009,1.056,0.525,606.884681,0.1814253,0.1260096,0.163515085,794.325256,822.981262,0.07,-0.481,2.062,0,0.1186632,0.174030049,0.2132955,0.10007,1,0.6,1
